Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels),rotation_end_time£¨s£©,rotation_end_time£¨s£©,Rotation Duration (s)
8.54 s,-4.81 m,8.21 m,0.46 m,0.02 m/s,-0.09 m/s,-0.00 m/s,0.003100357050517669,0.0004298436810073547,-1.57813903,-11 pixels,N/A,N/A,N/A
8.67 s,-4.81 m,8.20 m,0.46 m,0.02 m/s,-0.10 m/s,-0.00 m/s,0.003002158959033927,0.0026655555578121585,-1.578101439,-10 pixels,N/A,N/A,N/A
8.8 s,-4.80 m,8.19 m,0.46 m,0.01 m/s,-0.10 m/s,-0.00 m/s,0.002910289049872171,0.0042969596669263305,-1.578273239,-9 pixels,N/A,N/A,N/A
8.94 s,-4.80 m,8.18 m,0.46 m,0.01 m/s,-0.10 m/s,-0.00 m/s,0.002847217839152844,0.004664397189856714,-1.57829222,-9 pixels,N/A,N/A,N/A
9.1 s,-4.80 m,8.17 m,0.46 m,0.01 m/s,-0.10 m/s,-0.00 m/s,0.002683598842888488,0.004264277680180087,-1.578340021,-8 pixels,N/A,N/A,N/A
9.22 s,-4.80 m,8.16 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.002588361189146121,0.0037997238350157797,-1.578397498,-8 pixels,N/A,N/A,N/A
9.34 s,-4.80 m,8.15 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.002425340836782243,0.003367208206609821,-1.578395704,-8 pixels,N/A,N/A,N/A
9.45 s,-4.80 m,8.14 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0023383081492639865,0.002915166430086809,-1.578501097,-8 pixels,N/A,N/A,N/A
9.58 s,-4.80 m,8.13 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0022077548723901806,0.00253666927834158,-1.578457787,-9 pixels,N/A,N/A,N/A
9.72 s,-4.80 m,8.12 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0021021161392637253,0.0022730794960652357,-1.578443198,-9 pixels,N/A,N/A,N/A
9.85 s,-4.80 m,8.11 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0019552997136751175,0.001970084743586886,-1.578374722,-9 pixels,N/A,N/A,N/A
9.98 s,-4.80 m,8.10 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0018647150083928037,0.001725683886704139,-1.578381861,-9 pixels,N/A,N/A,N/A
10.11 s,-4.80 m,8.09 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0017234814728431353,0.0015443687306131017,-1.578354086,-9 pixels,N/A,N/A,N/A
10.24 s,-4.80 m,8.08 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0016665193873865469,0.0014261944063466794,-1.578420768,-10 pixels,N/A,N/A,N/A
10.36 s,-4.80 m,8.07 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0015293065149267068,0.0013026226045362876,-1.578440808,-10 pixels,N/A,N/A,N/A
10.49 s,-4.80 m,8.06 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0015490450173988404,0.0011604485760515876,-1.578510512,-10 pixels,N/A,N/A,N/A
10.61 s,-4.80 m,8.05 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0015994085835483592,0.001083812936688214,-1.57850832,-10 pixels,N/A,N/A,N/A
10.75 s,-4.80 m,8.05 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0015870361190190752,0.0011167397105834452,-1.578541333,-10 pixels,N/A,N/A,N/A
10.87 s,-4.80 m,8.04 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0016396037074604243,0.001064987619418683,-1.57854537,-10 pixels,N/A,N/A,N/A
10.99 s,-4.81 m,8.03 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0016444099245155042,0.0010969883875407297,-1.578585587,-10 pixels,N/A,N/A,N/A
11.11 s,-4.81 m,8.02 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0016891882713212882,0.0011121392653584293,-1.578597403,-10 pixels,N/A,N/A,N/A
11.24 s,-4.81 m,8.01 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0016377297559726643,0.0011099732628887316,-1.57862189,-11 pixels,N/A,N/A,N/A
11.36 s,-4.81 m,8.00 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0016635470263299812,0.0005103879967430827,-1.578682657,-11 pixels,N/A,N/A,N/A
11.48 s,-4.81 m,7.99 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.001639554492128695,0.0006662706146115193,-1.578771791,-11 pixels,N/A,N/A,N/A
11.61 s,-4.81 m,7.98 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0017060110126469533,-0.000431269,-1.578799971,-11 pixels,N/A,N/A,N/A
