Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels),rotation_end_time£¨s£©,rotation_end_time£¨s£©,Rotation Duration (s)
35.23 s,-4.80 m,6.06 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.002086832114600728,0.002634813204584458,-1.584846472,-8 pixels,N/A,N/A,N/A
35.35 s,-4.80 m,6.05 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.0021728364909494066,0.0023230397036397427,-1.585036799,-7 pixels,N/A,N/A,N/A
35.48 s,-4.80 m,6.04 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.0021181272796116264,0.002114073831241767,-1.585056669,-7 pixels,N/A,N/A,N/A
35.6 s,-4.80 m,6.03 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0022046960462762007,0.0019894110349692085,-1.585181173,-7 pixels,N/A,N/A,N/A
35.72 s,-4.80 m,6.02 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0021395157915924225,0.0019404405012977055,-1.585133646,-7 pixels,N/A,N/A,N/A
35.85 s,-4.80 m,6.01 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.002189066962763006,0.001810909346183695,-1.585167026,-7 pixels,N/A,N/A,N/A
35.96 s,-4.80 m,6.00 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0021834977663701062,0.0018132120176288175,-1.585244992,-7 pixels,N/A,N/A,N/A
36.08 s,-4.80 m,5.98 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.002164945837234434,0.0016334619827586656,-1.585179216,-7 pixels,N/A,N/A,N/A
36.2 s,-4.80 m,5.97 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0020336461785641314,0.0015995423766032454,-1.585233699,-7 pixels,N/A,N/A,N/A
36.32 s,-4.80 m,5.96 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0020066747122821785,0.0015616427868546526,-1.585167971,-8 pixels,N/A,N/A,N/A
36.43 s,-4.80 m,5.95 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0019523498075430371,0.0014994160077738711,-1.585225288,-10 pixels,N/A,N/A,N/A
36.55 s,-4.80 m,5.94 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0019316032264645783,0.0015391350480728951,-1.585223089,-11 pixels,N/A,N/A,N/A
36.68 s,-4.80 m,5.93 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0018980137348398739,0.00022688763451830503,-1.585233601,-12 pixels,N/A,N/A,N/A
36.79 s,-4.80 m,5.92 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0018043654541456309,-0.000213467,-1.585297333,-14 pixels,N/A,N/A,N/A
36.91 s,-4.80 m,5.91 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0017131576399242534,0.0008222539966346942,-1.585406642,-15 pixels,N/A,N/A,N/A
36.93 s,-4.80 m,5.91 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0017329032094239982,0.0009231722479985829,-1.585388463,-16 pixels,N/A,N/A,N/A
36.95 s,-4.80 m,5.91 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0017551548246194817,0.0010297594973249322,-1.58535415,-18 pixels,N/A,N/A,N/A
36.97 s,-4.80 m,5.91 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.00177497107546319,0.0011326980432939142,-1.585324556,-19 pixels,N/A,N/A,N/A
37.0 s,-4.80 m,5.91 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.001805131236590619,0.0013558989286294898,-1.585373569,-21 pixels,N/A,N/A,N/A
37.03 s,-4.80 m,5.90 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.001814970130356114,0.0014760979037952843,-1.585365468,-22 pixels,N/A,N/A,N/A
37.06 s,-4.80 m,5.90 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.001809713327846961,0.0015847314332744272,-1.585373236,-23 pixels,N/A,N/A,N/A
37.17 s,-4.80 m,5.89 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.001929815595111682,0.0017413924818282266,-1.58554209,-24 pixels,N/A,N/A,N/A
37.28 s,-4.80 m,5.88 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0020333328664751127,0.0017626379651261806,-1.585552598,-25 pixels,N/A,N/A,N/A
37.4 s,-4.80 m,5.87 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.002082785193262127,0.0015192751733343515,-1.585588068,-26 pixels,N/A,N/A,N/A
37.5 s,-4.80 m,5.86 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0020436693187669444,0.0014509259484774173,-1.585571763,-27 pixels,N/A,N/A,N/A
37.61 s,-4.80 m,5.85 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.00202483244360478,0.0012283050280359484,-1.585723095,-28 pixels,N/A,N/A,N/A
37.72 s,-4.80 m,5.84 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0020268317252236977,0.0011947273834165334,-1.585633005,-29 pixels,N/A,N/A,N/A
37.83 s,-4.80 m,5.83 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0020190204407347337,0.00105138791752628,-1.585685568,-30 pixels,N/A,N/A,N/A
37.94 s,-4.80 m,5.82 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.002003986442041076,0.0010459817631382304,-1.585624531,-31 pixels,N/A,N/A,N/A
38.05 s,-4.80 m,5.81 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0020588246805009203,0.0009515883804984968,-1.585717246,-32 pixels,N/A,N/A,N/A
38.22 s,-4.80 m,5.80 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0019884252562333495,0.0009853958695282168,-1.585713796,-33 pixels,N/A,N/A,N/A
38.27 s,-4.80 m,5.79 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0020102782326394744,0.0009464006460501086,-1.585781301,-34 pixels,N/A,N/A,N/A
38.37 s,-4.80 m,5.78 m,0.46 m,-0.00 m/s,-0.10 m/s,0.00 m/s,0.0019923402220858566,0.0010010439944213483,-1.585743105,-35 pixels,N/A,N/A,N/A
38.48 s,-4.80 m,5.77 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.002025102720004374,0.0009357279910807794,-1.585777084,-36 pixels,N/A,N/A,N/A
38.6 s,-4.80 m,5.76 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0020090262415663443,0.0010384252820895964,-1.585813879,-37 pixels,N/A,N/A,N/A
38.72 s,-4.80 m,5.75 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0019858438804468827,0.0009973831965341563,-1.585872839,-37 pixels,N/A,N/A,N/A
38.83 s,-4.80 m,5.74 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0019152453319820858,0.0010960313346523103,-1.585889247,-38 pixels,N/A,N/A,N/A
38.94 s,-4.80 m,5.73 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0018072498098049103,0.0011018488786208188,-1.585975441,-39 pixels,N/A,N/A,N/A
39.06 s,-4.80 m,5.72 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.001759543310294804,0.001232823331486704,-1.585993567,-40 pixels,N/A,N/A,N/A
39.18 s,-4.80 m,5.71 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0017735252873779324,0.001247368845567138,-1.586098688,-40 pixels,N/A,N/A,N/A
39.29 s,-4.80 m,5.70 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0018422203127156512,0.0013063899448736678,-1.586077087,-41 pixels,N/A,N/A,N/A
39.4 s,-4.80 m,5.70 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0019114948506823107,0.001217138112728038,-1.58617494,-42 pixels,N/A,N/A,N/A
39.5 s,-4.80 m,5.69 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0019203923859656235,0.0012892028901214752,-1.58614432,-43 pixels,N/A,N/A,N/A
39.61 s,-4.80 m,5.68 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0019266362624348354,0.001212631653523959,-1.586160374,-43 pixels,N/A,N/A,N/A
39.72 s,-4.80 m,5.67 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0019290807435885275,0.0012624805459049311,-1.586221252,-44 pixels,N/A,N/A,N/A
39.83 s,-4.80 m,5.65 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.001864260817053591,0.0012461197915274813,-1.58625436,-45 pixels,N/A,N/A,N/A
39.92 s,-4.80 m,5.65 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.001803050592915159,0.001267065972389504,-1.586220886,-45 pixels,N/A,N/A,N/A
40.04 s,-4.80 m,5.64 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.001768056661995161,0.0011982973864412521,-1.586296903,-46 pixels,N/A,N/A,N/A
40.16 s,-4.80 m,5.63 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0018037505668070412,0.0012437618986116763,-1.58630418,-47 pixels,N/A,N/A,N/A
40.26 s,-4.80 m,5.62 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.00176795323364105,0.0012254692740713631,-1.586394447,-47 pixels,N/A,N/A,N/A
40.37 s,-4.80 m,5.61 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0017730114579788414,0.0012862744710568565,-1.586364839,-47 pixels,N/A,N/A,N/A
40.48 s,-4.80 m,5.60 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.001826446243880297,0.00123961865778115,-1.586462604,-47 pixels,N/A,N/A,N/A
40.59 s,-4.80 m,5.59 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0019586744390725154,0.0013165229549050104,-1.586435385,-47 pixels,N/A,N/A,N/A
40.72 s,-4.80 m,5.58 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.002090595437424924,0.0012884898598974368,-1.586485241,-47 pixels,N/A,N/A,N/A
40.82 s,-4.80 m,5.57 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.002195192239589144,0.0013701907410328615,-1.586520224,-47 pixels,N/A,N/A,N/A
42.63 s,-4.80 m,5.40 m,0.47 m,0.01 m/s,-0.10 m/s,0.00 m/s,-0.001753757,0.001636708008708858,-0.021516329,-47 pixels,40.83,42.63,1.8
42.65 s,-4.80 m,5.40 m,0.47 m,0.01 m/s,-0.10 m/s,0.00 m/s,-0.001822976,0.0015924178180927065,-0.018295424,-47 pixels,N/A,N/A,N/A
42.67 s,-4.80 m,5.40 m,0.47 m,0.01 m/s,-0.10 m/s,0.00 m/s,-0.001905962,0.0015369094220737585,-0.014706926,-46 pixels,N/A,N/A,N/A
42.69 s,-4.80 m,5.39 m,0.47 m,0.01 m/s,-0.10 m/s,0.00 m/s,-0.002001178,0.0014468699040073056,-0.010607123,-46 pixels,N/A,N/A,N/A
42.71 s,-4.80 m,5.39 m,0.47 m,0.01 m/s,-0.10 m/s,0.00 m/s,-0.002070017,0.0012838642145482414,-0.006683064,-43 pixels,N/A,N/A,N/A
42.72 s,-4.80 m,5.39 m,0.47 m,0.01 m/s,-0.10 m/s,0.00 m/s,-0.002044497,0.0009800845741693076,-0.003419471,-39 pixels,N/A,N/A,N/A
42.74 s,-4.80 m,5.39 m,0.47 m,0.01 m/s,-0.10 m/s,0.00 m/s,-0.001785061,0.0003545838990077361,1.9441526580554937e-05,-35 pixels,N/A,N/A,N/A
42.75 s,-4.80 m,5.39 m,0.47 m,0.01 m/s,-0.10 m/s,0.00 m/s,-0.001101273,-0.000723887,0.0032992818160152426,-30 pixels,N/A,N/A,N/A
42.78 s,-4.80 m,5.39 m,0.47 m,0.01 m/s,-0.10 m/s,0.00 m/s,4.53644501375597e-05,-0.002158353,0.006056051804687472,-25 pixels,N/A,N/A,N/A
42.8 s,-4.80 m,5.38 m,0.47 m,0.01 m/s,-0.09 m/s,0.00 m/s,0.0016480327690183221,-0.003955276,0.008314638304886263,-20 pixels,N/A,N/A,N/A
42.81 s,-4.80 m,5.38 m,0.47 m,0.01 m/s,-0.09 m/s,0.00 m/s,0.0026154940484550315,-0.00499494,0.009265899523535516,-15 pixels,N/A,N/A,N/A
42.84 s,-4.80 m,5.38 m,0.47 m,0.01 m/s,-0.09 m/s,0.00 m/s,0.0057238121525824285,-0.008131812,0.01136542026238914,-3 pixels,N/A,N/A,N/A
42.86 s,-4.80 m,5.38 m,0.47 m,0.01 m/s,-0.09 m/s,0.00 m/s,0.00779549873935682,-0.010078326,0.01229516289606895,-2 pixels,N/A,N/A,N/A
42.89 s,-4.80 m,5.38 m,0.47 m,0.01 m/s,-0.09 m/s,0.00 m/s,0.009784846438222406,-0.011837099,0.012967436525920324,-2 pixels,N/A,N/A,N/A
42.91 s,-4.80 m,5.37 m,0.47 m,0.02 m/s,-0.08 m/s,0.00 m/s,0.012348577169111937,-0.013977442,0.013593483261436445,-3 pixels,N/A,N/A,N/A
42.95 s,-4.80 m,5.37 m,0.47 m,0.02 m/s,-0.08 m/s,0.00 m/s,0.016638851570421352,-0.017284077,0.014115749590990262,-5 pixels,N/A,N/A,N/A
43.06 s,-4.80 m,5.36 m,0.47 m,0.04 m/s,-0.06 m/s,0.00 m/s,0.02214795270078593,-0.020157883,0.012434867271230212,-5 pixels,N/A,N/A,N/A
43.17 s,-4.79 m,5.36 m,0.47 m,0.06 m/s,-0.04 m/s,0.00 m/s,0.021731390217038547,-0.018367404,0.00854164991568713,-6 pixels,N/A,N/A,N/A
43.29 s,-4.79 m,5.36 m,0.47 m,0.08 m/s,-0.02 m/s,0.00 m/s,0.01848301333623956,-0.014704736,0.0037888227964397113,-6 pixels,N/A,N/A,N/A
43.41 s,-4.78 m,5.35 m,0.47 m,0.09 m/s,-0.01 m/s,0.00 m/s,0.014719929285436766,-0.011045347,-0.000367782,-6 pixels,N/A,N/A,N/A
43.52 s,-4.77 m,5.36 m,0.47 m,0.10 m/s,0.00 m/s,0.00 m/s,0.011326878740709164,-0.007597742,-0.00409204,-6 pixels,N/A,N/A,N/A
43.62 s,-4.75 m,5.36 m,0.47 m,0.11 m/s,0.01 m/s,0.00 m/s,0.009071400424985833,-0.005135542,-0.006776217,-6 pixels,N/A,N/A,N/A
43.73 s,-4.74 m,5.36 m,0.47 m,0.12 m/s,0.02 m/s,0.00 m/s,0.007371600609158923,-0.003039654,-0.008722273,-6 pixels,N/A,N/A,N/A
43.84 s,-4.73 m,5.36 m,0.47 m,0.12 m/s,0.02 m/s,0.00 m/s,0.006253035315063643,-0.001331922,-0.010056719,-5 pixels,N/A,N/A,N/A
43.95 s,-4.72 m,5.36 m,0.47 m,0.12 m/s,0.02 m/s,0.00 m/s,0.0055110630756340356,-2.70E-06,-0.010996782,-5 pixels,N/A,N/A,N/A
44.06 s,-4.71 m,5.37 m,0.47 m,0.13 m/s,0.02 m/s,0.00 m/s,0.004787443149906769,0.001146794553223425,-0.011625518,-5 pixels,N/A,N/A,N/A
44.17 s,-4.69 m,5.37 m,0.47 m,0.13 m/s,0.02 m/s,0.00 m/s,0.0038923183948756735,0.0021639362692011297,-0.011969309,-5 pixels,N/A,N/A,N/A
44.3 s,-4.68 m,5.37 m,0.47 m,0.13 m/s,0.02 m/s,0.00 m/s,0.002974374834926483,0.0032102155424163967,-0.012190424,-5 pixels,N/A,N/A,N/A
44.42 s,-4.66 m,5.37 m,0.47 m,0.13 m/s,0.02 m/s,0.00 m/s,0.0022970132601168787,0.0038941859305550914,-0.01222498,-5 pixels,N/A,N/A,N/A
44.5 s,-4.65 m,5.37 m,0.47 m,0.13 m/s,0.02 m/s,0.00 m/s,0.0019575051198658594,0.004217969908014116,-0.012316407,-4 pixels,N/A,N/A,N/A
44.61 s,-4.64 m,5.38 m,0.47 m,0.13 m/s,0.01 m/s,0.00 m/s,0.001551560228352426,0.004642160782188685,-0.01225808,-4 pixels,N/A,N/A,N/A
44.73 s,-4.63 m,5.38 m,0.47 m,0.13 m/s,0.01 m/s,0.00 m/s,0.0012154126746203194,0.004958584587701929,-0.012320538,-4 pixels,N/A,N/A,N/A
44.84 s,-4.62 m,5.38 m,0.47 m,0.12 m/s,0.01 m/s,0.00 m/s,0.0009040804656679027,0.005291526321986534,-0.012271889,-4 pixels,N/A,N/A,N/A
44.95 s,-4.60 m,5.38 m,0.47 m,0.12 m/s,0.00 m/s,0.00 m/s,0.0005984690601281169,0.005450785455978948,-0.01230814,-4 pixels,N/A,N/A,N/A
45.06 s,-4.59 m,5.38 m,0.47 m,0.12 m/s,-0.00 m/s,0.00 m/s,0.0003610448968859556,0.005586377641647808,-0.012269868,-4 pixels,N/A,N/A,N/A
45.17 s,-4.58 m,5.38 m,0.47 m,0.12 m/s,-0.01 m/s,0.00 m/s,0.00015219698023309812,0.005624910237625457,-0.012372908,-4 pixels,N/A,N/A,N/A
45.28 s,-4.57 m,5.38 m,0.47 m,0.12 m/s,-0.01 m/s,0.00 m/s,4.963564275635248e-05,0.005645198798176743,-0.012364043,-4 pixels,N/A,N/A,N/A
45.39 s,-4.55 m,5.38 m,0.47 m,0.11 m/s,-0.01 m/s,0.00 m/s,3.694335990520459e-05,0.005581624388604854,-0.012465226,-4 pixels,N/A,N/A,N/A
45.5 s,-4.54 m,5.37 m,0.47 m,0.11 m/s,-0.02 m/s,0.00 m/s,4.211607788201086e-05,0.005572768938686072,-0.012499295,-5 pixels,N/A,N/A,N/A
45.6 s,-4.53 m,5.37 m,0.47 m,0.11 m/s,-0.02 m/s,0.00 m/s,1.8541843087869345e-05,0.005452879971995779,-0.012586761,-5 pixels,N/A,N/A,N/A
45.71 s,-4.52 m,5.37 m,0.47 m,0.11 m/s,-0.02 m/s,0.00 m/s,-6.30E-05,0.005352150616439291,-0.012648349,-6 pixels,N/A,N/A,N/A
45.88 s,-4.51 m,5.37 m,0.47 m,0.11 m/s,-0.03 m/s,0.00 m/s,-0.000171042,0.005085653170464174,-0.012729978,-6 pixels,N/A,N/A,N/A
45.94 s,-4.50 m,5.37 m,0.47 m,0.10 m/s,-0.03 m/s,0.00 m/s,-0.000170654,0.005000045279724551,-0.012773385,-7 pixels,N/A,N/A,N/A
46.05 s,-4.49 m,5.36 m,0.47 m,0.10 m/s,-0.03 m/s,0.00 m/s,-0.000129863,0.004719568444985968,-0.012800826,-7 pixels,N/A,N/A,N/A
46.16 s,-4.48 m,5.36 m,0.47 m,0.10 m/s,-0.04 m/s,0.00 m/s,-9.54E-05,0.004473003976571929,-0.01277495,-8 pixels,N/A,N/A,N/A
46.27 s,-4.47 m,5.36 m,0.47 m,0.10 m/s,-0.04 m/s,0.00 m/s,1.2822222724422884e-05,0.004189632899733216,-0.012912609,-9 pixels,N/A,N/A,N/A
46.4 s,-4.46 m,5.35 m,0.47 m,0.10 m/s,-0.04 m/s,0.00 m/s,7.309199228515312e-05,0.003911043421357603,-0.012930303,-10 pixels,N/A,N/A,N/A
46.5 s,-4.45 m,5.35 m,0.47 m,0.10 m/s,-0.04 m/s,0.00 m/s,0.0001039898811873442,0.003619782890253028,-0.012969867,-11 pixels,N/A,N/A,N/A
46.62 s,-4.44 m,5.34 m,0.47 m,0.10 m/s,-0.04 m/s,0.00 m/s,0.00013031070983059512,0.0033187778089938504,-0.013019978,-12 pixels,N/A,N/A,N/A
46.73 s,-4.43 m,5.34 m,0.47 m,0.09 m/s,-0.04 m/s,0.00 m/s,0.0002435498474908493,0.002929872527812074,-0.013020376,-13 pixels,N/A,N/A,N/A
46.85 s,-4.42 m,5.33 m,0.47 m,0.09 m/s,-0.04 m/s,0.00 m/s,0.0004016909216124618,0.0025268943328387657,-0.012987317,-15 pixels,N/A,N/A,N/A
46.95 s,-4.41 m,5.33 m,0.47 m,0.09 m/s,-0.04 m/s,0.00 m/s,0.000574097275985194,0.002148922647238952,-0.013124737,-16 pixels,N/A,N/A,N/A
47.06 s,-4.40 m,5.33 m,0.47 m,0.09 m/s,-0.04 m/s,0.00 m/s,0.00079602539508417,0.0018583737778013827,-0.013176891,-17 pixels,N/A,N/A,N/A
47.17 s,-4.39 m,5.32 m,0.47 m,0.09 m/s,-0.04 m/s,0.00 m/s,0.0010162612877809701,0.0015499238430022504,-0.013206236,-19 pixels,N/A,N/A,N/A
47.28 s,-4.39 m,5.32 m,0.47 m,0.09 m/s,-0.04 m/s,0.00 m/s,0.001157269317443177,0.001358730140627643,-0.013260992,-20 pixels,N/A,N/A,N/A
47.39 s,-4.38 m,5.31 m,0.47 m,0.09 m/s,-0.04 m/s,0.00 m/s,0.0012238520010449286,0.0011048620436236167,-0.013193872,-22 pixels,N/A,N/A,N/A
47.5 s,-4.37 m,5.31 m,0.47 m,0.09 m/s,-0.04 m/s,0.00 m/s,0.0012761033598214235,0.0009815775044363117,-0.013243634,-23 pixels,N/A,N/A,N/A
47.62 s,-4.36 m,5.30 m,0.47 m,0.09 m/s,-0.04 m/s,0.00 m/s,0.0013074213858537593,0.0007795510968896177,-0.013194754,-25 pixels,N/A,N/A,N/A
47.73 s,-4.35 m,5.30 m,0.47 m,0.09 m/s,-0.04 m/s,0.00 m/s,0.0013973380050811132,0.0006551511232106589,-0.013291685,-27 pixels,N/A,N/A,N/A
47.84 s,-4.34 m,5.30 m,0.47 m,0.09 m/s,-0.04 m/s,0.00 m/s,0.001489973834738235,0.0005265760046910541,-0.013209103,-29 pixels,N/A,N/A,N/A
47.95 s,-4.33 m,5.29 m,0.47 m,0.09 m/s,-0.04 m/s,0.00 m/s,0.0015843638832452212,0.0004607404010638578,-0.013296342,-30 pixels,N/A,N/A,N/A
48.08 s,-4.32 m,5.29 m,0.47 m,0.09 m/s,-0.03 m/s,0.00 m/s,0.0016303236591646625,0.0003615897966451953,-0.013185595,-32 pixels,N/A,N/A,N/A
48.18 s,-4.31 m,5.29 m,0.47 m,0.09 m/s,-0.03 m/s,0.00 m/s,0.0016489995360208628,0.000304153881787442,-0.013282842,-34 pixels,N/A,N/A,N/A
48.3 s,-4.30 m,5.28 m,0.47 m,0.09 m/s,-0.03 m/s,0.00 m/s,0.0016722443331425084,0.00024502672799584473,-0.013235381,-36 pixels,N/A,N/A,N/A
48.41 s,-4.29 m,5.28 m,0.47 m,0.09 m/s,-0.03 m/s,0.00 m/s,0.001697571074869847,0.0002743175046446636,-0.013346163,-38 pixels,N/A,N/A,N/A
48.52 s,-4.29 m,5.28 m,0.47 m,0.09 m/s,-0.03 m/s,0.00 m/s,0.0017701760498561245,0.00035376897753147625,-0.013272356,-40 pixels,N/A,N/A,N/A
48.64 s,-4.28 m,5.27 m,0.47 m,0.09 m/s,-0.03 m/s,0.00 m/s,0.0018375542150984223,0.00047464757858121167,-0.013354869,-42 pixels,N/A,N/A,N/A
48.75 s,-4.27 m,5.27 m,0.47 m,0.09 m/s,-0.03 m/s,0.00 m/s,0.0019118510994461403,0.0006631330204132785,-0.013308546,-44 pixels,N/A,N/A,N/A
48.89 s,-4.25 m,5.27 m,0.47 m,0.09 m/s,-0.02 m/s,0.00 m/s,0.0019512990181323841,0.0008451016915492775,-0.013372067,-46 pixels,N/A,N/A,N/A
48.97 s,-4.25 m,5.27 m,0.47 m,0.09 m/s,-0.02 m/s,0.00 m/s,0.0018967475550735842,0.0009399850630492721,-0.013356356,-48 pixels,N/A,N/A,N/A
49.08 s,-4.24 m,5.26 m,0.47 m,0.09 m/s,-0.02 m/s,0.00 m/s,0.0018569217434566828,0.001038141815891137,-0.013485491,-50 pixels,N/A,N/A,N/A
49.2 s,-4.23 m,5.26 m,0.47 m,0.09 m/s,-0.02 m/s,0.00 m/s,0.0018811157567285505,0.0011335656595051467,-0.013477621,-52 pixels,N/A,N/A,N/A
49.3 s,-4.22 m,5.26 m,0.47 m,0.09 m/s,-0.02 m/s,0.00 m/s,0.0018650679842731263,0.0010642280955581772,-0.01350715,-55 pixels,N/A,N/A,N/A
49.41 s,-4.21 m,5.26 m,0.47 m,0.10 m/s,-0.02 m/s,0.00 m/s,0.0018930811729208753,0.0010892213832942286,-0.013454819,-58 pixels,N/A,N/A,N/A
49.52 s,-4.20 m,5.25 m,0.47 m,0.10 m/s,-0.02 m/s,0.00 m/s,0.0018167273860665834,0.0010793018801670174,-0.013493505,-59 pixels,N/A,N/A,N/A
49.62 s,-4.19 m,5.25 m,0.47 m,0.10 m/s,-0.02 m/s,0.00 m/s,0.0019510293619990312,0.001169286173769707,-0.013432955,-60 pixels,N/A,N/A,N/A
49.75 s,-4.18 m,5.25 m,0.47 m,0.10 m/s,-0.02 m/s,0.00 m/s,0.002042208762596293,-0.000581534,-0.013460129,-61 pixels,N/A,N/A,N/A
49.87 s,-4.17 m,5.25 m,0.47 m,0.10 m/s,-0.02 m/s,0.00 m/s,0.0019735171074599747,-0.000349502,-0.013484111,-62 pixels,N/A,N/A,N/A
49.99 s,-4.16 m,5.25 m,0.47 m,0.10 m/s,-0.02 m/s,0.00 m/s,0.0019341025800050636,0.0008800849918869613,-0.013531274,-62 pixels,N/A,N/A,N/A
50.1 s,-4.15 m,5.24 m,0.47 m,0.10 m/s,-0.01 m/s,-0.00 m/s,0.0018295691538527245,-0.000904764,-0.013485311,-62 pixels,N/A,N/A,N/A
50.22 s,-4.14 m,5.24 m,0.47 m,0.10 m/s,-0.01 m/s,-0.00 m/s,0.001787860596511956,-0.011559415,-0.013457267,-65 pixels,N/A,N/A,N/A
50.34 s,-4.13 m,5.24 m,0.47 m,0.10 m/s,0.01 m/s,-0.00 m/s,0.0016332291599492105,-0.018866175,-0.013429067,-68 pixels,N/A,N/A,N/A
50.46 s,-4.12 m,5.24 m,0.47 m,0.10 m/s,0.03 m/s,-0.00 m/s,0.0016529985276203746,-0.016320033,-0.013372888,-68 pixels,N/A,N/A,N/A
50.58 s,-4.11 m,5.25 m,0.47 m,0.10 m/s,0.04 m/s,-0.00 m/s,0.0016585897644359321,-0.001905731,-0.013529165,-65 pixels,N/A,N/A,N/A
50.7 s,-4.10 m,5.25 m,0.47 m,0.10 m/s,0.04 m/s,-0.00 m/s,0.0018651585527721345,0.004504691874508695,-0.013576502,-60 pixels,N/A,N/A,N/A
50.82 s,-4.09 m,5.26 m,0.47 m,0.09 m/s,0.04 m/s,-0.00 m/s,0.0020258125042028558,-0.005513834,-0.013497729,-58 pixels,N/A,N/A,N/A
50.94 s,-4.08 m,5.26 m,0.47 m,0.09 m/s,0.05 m/s,-0.00 m/s,0.002277766012732891,-0.017198607,-0.013435827,-60 pixels,N/A,N/A,N/A
51.06 s,-4.07 m,5.27 m,0.47 m,0.09 m/s,0.07 m/s,-0.00 m/s,0.0024061312275095855,-0.015970399,-0.013480082,-61 pixels,N/A,N/A,N/A
51.18 s,-4.06 m,5.28 m,0.47 m,0.09 m/s,0.08 m/s,-0.00 m/s,0.0026272915169642083,-0.005135792,-0.013542011,-58 pixels,N/A,N/A,N/A
51.31 s,-4.05 m,5.29 m,0.47 m,0.09 m/s,0.08 m/s,-0.00 m/s,0.0028645988792996967,0.007231197473056424,-0.013653278,-52 pixels,N/A,N/A,N/A
