Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels)
27.73 s,2.06 m,-4.83 m,0.48 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,0 pixels
27.86 s,2.07 m,-4.83 m,0.48 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,0 pixels
27.98 s,2.08 m,-4.83 m,0.48 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,0 pixels
28.1 s,2.09 m,-4.84 m,0.48 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,0 pixels
28.22 s,2.10 m,-4.84 m,0.48 m,0.10 m/s,-0.00 m/s,0.00 m/s,0.00 rad,0.00 rad,-0.00 rad,0 pixels
29.44 s,2.20 m,-4.83 m,0.48 m,0.08 m/s,0.04 m/s,0.00 m/s,0.01 rad,-0.01 rad,0.79 rad,0 pixels
29.57 s,2.21 m,-4.83 m,0.48 m,0.08 m/s,0.06 m/s,0.00 m/s,0.01 rad,-0.01 rad,0.80 rad,0 pixels
29.68 s,2.21 m,-4.82 m,0.48 m,0.07 m/s,0.07 m/s,0.00 m/s,0.01 rad,-0.01 rad,0.81 rad,0 pixels
29.8 s,2.22 m,-4.81 m,0.48 m,0.06 m/s,0.08 m/s,0.00 m/s,0.01 rad,-0.02 rad,0.81 rad,0 pixels
29.91 s,2.22 m,-4.81 m,0.48 m,0.05 m/s,0.10 m/s,0.00 m/s,0.00 rad,-0.02 rad,0.81 rad,0 pixels
30.03 s,2.23 m,-4.80 m,0.48 m,0.04 m/s,0.11 m/s,0.00 m/s,0.00 rad,-0.01 rad,0.80 rad,0 pixels
30.15 s,2.23 m,-4.78 m,0.48 m,0.04 m/s,0.11 m/s,0.00 m/s,0.00 rad,-0.01 rad,0.80 rad,0 pixels
30.27 s,2.23 m,-4.77 m,0.48 m,0.03 m/s,0.12 m/s,0.00 m/s,0.00 rad,0.00 rad,0.79 rad,0 pixels
30.38 s,2.24 m,-4.76 m,0.48 m,0.04 m/s,0.12 m/s,0.00 m/s,0.00 rad,0.00 rad,0.79 rad,0 pixels
30.5 s,2.24 m,-4.75 m,0.48 m,0.03 m/s,0.12 m/s,-0.00 m/s,0.00 rad,-0.01 rad,0.79 rad,0 pixels
30.62 s,2.24 m,-4.74 m,0.48 m,0.03 m/s,0.12 m/s,-0.00 m/s,0.00 rad,-0.01 rad,0.79 rad,0 pixels
30.73 s,2.25 m,-4.73 m,0.48 m,0.03 m/s,0.13 m/s,-0.00 m/s,0.00 rad,-0.01 rad,0.79 rad,0 pixels
30.85 s,2.25 m,-4.71 m,0.48 m,0.02 m/s,0.13 m/s,-0.00 m/s,0.00 rad,-0.00 rad,0.79 rad,0 pixels
30.97 s,2.25 m,-4.70 m,0.48 m,0.03 m/s,0.13 m/s,-0.00 m/s,0.00 rad,0.01 rad,0.79 rad,0 pixels
31.08 s,2.25 m,-4.69 m,0.48 m,0.03 m/s,0.12 m/s,-0.00 m/s,0.00 rad,0.01 rad,0.78 rad,0 pixels
31.2 s,2.26 m,-4.67 m,0.48 m,0.04 m/s,0.12 m/s,-0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
31.31 s,2.26 m,-4.66 m,0.48 m,0.04 m/s,0.12 m/s,-0.00 m/s,0.00 rad,-0.00 rad,0.78 rad,0 pixels
31.43 s,2.26 m,-4.65 m,0.48 m,0.04 m/s,0.12 m/s,-0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
31.44 s,2.26 m,-4.65 m,0.48 m,0.04 m/s,0.12 m/s,-0.00 m/s,0.00 rad,0.01 rad,0.78 rad,0 pixels
31.46 s,2.26 m,-4.65 m,0.48 m,0.04 m/s,0.12 m/s,-0.00 m/s,0.00 rad,0.01 rad,0.78 rad,0 pixels
31.48 s,2.26 m,-4.65 m,0.48 m,0.04 m/s,0.12 m/s,-0.00 m/s,0.00 rad,0.01 rad,0.78 rad,0 pixels
31.5 s,2.26 m,-4.65 m,0.48 m,0.04 m/s,0.12 m/s,-0.00 m/s,0.00 rad,0.01 rad,0.78 rad,0 pixels
31.52 s,2.27 m,-4.64 m,0.48 m,0.04 m/s,0.12 m/s,-0.00 m/s,0.00 rad,0.01 rad,0.78 rad,0 pixels
31.54 s,2.27 m,-4.64 m,0.48 m,0.04 m/s,0.11 m/s,-0.00 m/s,0.00 rad,0.01 rad,0.78 rad,0 pixels
31.56 s,2.27 m,-4.64 m,0.48 m,0.04 m/s,0.11 m/s,-0.00 m/s,0.00 rad,0.01 rad,0.78 rad,0 pixels
31.59 s,2.27 m,-4.64 m,0.48 m,0.04 m/s,0.11 m/s,-0.00 m/s,0.00 rad,0.01 rad,0.78 rad,0 pixels
31.61 s,2.27 m,-4.64 m,0.48 m,0.04 m/s,0.11 m/s,-0.00 m/s,0.00 rad,0.01 rad,0.78 rad,0 pixels
31.63 s,2.27 m,-4.63 m,0.48 m,0.04 m/s,0.11 m/s,-0.00 m/s,0.00 rad,0.01 rad,0.78 rad,0 pixels
31.74 s,2.27 m,-4.62 m,0.48 m,0.05 m/s,0.10 m/s,-0.00 m/s,0.00 rad,0.01 rad,0.78 rad,0 pixels
31.85 s,2.28 m,-4.61 m,0.48 m,0.06 m/s,0.10 m/s,-0.00 m/s,0.00 rad,0.01 rad,0.78 rad,0 pixels
31.98 s,2.28 m,-4.61 m,0.48 m,0.07 m/s,0.09 m/s,-0.00 m/s,0.00 rad,0.01 rad,0.78 rad,0 pixels
32.1 s,2.29 m,-4.60 m,0.48 m,0.07 m/s,0.08 m/s,-0.00 m/s,0.00 rad,0.01 rad,0.78 rad,0 pixels
32.23 s,2.30 m,-4.59 m,0.48 m,0.08 m/s,0.08 m/s,-0.00 m/s,0.00 rad,0.01 rad,0.78 rad,0 pixels
32.34 s,2.31 m,-4.58 m,0.48 m,0.08 m/s,0.07 m/s,-0.00 m/s,0.00 rad,0.01 rad,0.78 rad,0 pixels
32.47 s,2.32 m,-4.58 m,0.48 m,0.09 m/s,0.07 m/s,-0.00 m/s,0.00 rad,0.01 rad,0.78 rad,0 pixels
32.59 s,2.32 m,-4.57 m,0.48 m,0.09 m/s,0.06 m/s,-0.00 m/s,0.00 rad,0.01 rad,0.78 rad,0 pixels
32.72 s,2.33 m,-4.56 m,0.48 m,0.09 m/s,0.06 m/s,-0.00 m/s,0.00 rad,0.01 rad,0.78 rad,0 pixels
32.84 s,2.34 m,-4.56 m,0.48 m,0.09 m/s,0.06 m/s,-0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
32.97 s,2.35 m,-4.55 m,0.48 m,0.10 m/s,0.06 m/s,-0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
33.09 s,2.36 m,-4.55 m,0.48 m,0.10 m/s,0.06 m/s,-0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
33.25 s,2.37 m,-4.54 m,0.48 m,0.10 m/s,0.05 m/s,-0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
33.37 s,2.38 m,-4.53 m,0.48 m,0.10 m/s,0.05 m/s,-0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
33.48 s,2.39 m,-4.53 m,0.48 m,0.10 m/s,0.05 m/s,-0.00 m/s,0.00 rad,0.00 rad,0.78 rad,0 pixels
