Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad),Image_Center_Offset (pixels),Rotation Start Time (s),rotation_end_time (s),Rotation Duration (s)
191.75 s,-4.80 m,-5.46 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0023085088677325316,0.0014057251573318203,-1.580030574,-46 pixels,N/A,N/A,N/A
191.87 s,-4.80 m,-5.48 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.002313719908246598,0.001414699977371539,-1.580154463,-46 pixels,N/A,N/A,N/A
191.97 s,-4.80 m,-5.48 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.00227120979271113,0.0013226543277988687,-1.580143762,-46 pixels,N/A,N/A,N/A
192.09 s,-4.80 m,-5.49 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.002222430035434807,0.0013396754799327182,-1.580268385,-46 pixels,N/A,N/A,N/A
192.2 s,-4.80 m,-5.50 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0022144984093746757,0.0012564147001893305,-1.580268832,-46 pixels,N/A,N/A,N/A
192.32 s,-4.80 m,-5.51 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0021195603665426486,0.0013136241075464427,-1.580285554,-46 pixels,N/A,N/A,N/A
192.44 s,-4.80 m,-5.52 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.002138702407580444,0.0013647944239041003,-1.58038748,-46 pixels,N/A,N/A,N/A
192.56 s,-4.80 m,-5.53 m,0.46 m,0.00 m/s,-0.10 m/s,0.00 m/s,0.0019545683598938663,0.0015435443037154584,-1.580431815,-46 pixels,N/A,N/A,N/A
192.69 s,-4.80 m,-5.54 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.0018939861978129761,0.0015718783038874103,-1.580426681,-45 pixels,N/A,N/A,N/A
192.8 s,-4.80 m,-5.55 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.001764004185874102,0.0017205882221855747,-1.580544041,-45 pixels,N/A,N/A,N/A
192.91 s,-4.79 m,-5.56 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.0017970356056658488,0.001715677002176133,-1.580539682,-45 pixels,N/A,N/A,N/A
193.03 s,-4.79 m,-5.57 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.001688894332744101,0.0018375030654277649,-1.58058466,-45 pixels,N/A,N/A,N/A
193.17 s,-4.79 m,-5.58 m,0.46 m,0.00 m/s,-0.10 m/s,-0.00 m/s,0.001745495355789929,0.0017988225688287697,-1.580624638,-45 pixels,N/A,N/A,N/A
193.29 s,-4.79 m,-5.59 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0016795472352226718,0.0018039382282355383,-1.580713792,-44 pixels,N/A,N/A,N/A
193.39 s,-4.79 m,-5.60 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0017342544769432225,0.0017838254043306416,-1.580729576,-43 pixels,N/A,N/A,N/A
193.52 s,-4.79 m,-5.61 m,0.46 m,-0.00 m/s,-0.10 m/s,-0.00 m/s,0.0016286319031734824,0.0019009934280489157,-1.580767936,-43 pixels,N/A,N/A,N/A
