Timestamp (s),Position_X (m),Position_Y (m),Position_Z (m),Speed_X (m/s),Speed_Y (m/s),Speed_Z (m/s),Pitch (rad),Roll (rad),Yaw (rad)
168.74,1.3668903530105676,5.106325466912697,0.47846950226567814,-0.1069179236152359,0.025796306567542362,0.0005231471216218598,0.002307590360195468,0.0016118751750231056,2.995883867894255
168.75,1.3663553446505223,5.106453361083459,0.47847211470067325,-0.10692965073084988,0.025792597304387,0.0005200728141529118,0.002306622695045534,0.0016172343321746593,2.9958834398637038
168.75,1.3659268370555837,5.10655598389836,0.47847417044437146,-0.10693263510089121,0.025765382357499398,0.0005093674272878913,0.002302915268239929,0.0016205042149043814,2.9958833817969204
168.77,1.3644257275462555,5.106920063513833,0.4784812432803164,-0.10694877536407754,0.025753945144717343,0.0005223928090756295,0.0022806652842048275,0.0016049847849563322,2.9958837690098337
168.87,1.3537921472347163,5.10946830666883,0.47853763274305877,-0.10708600841874033,0.025774027901597586,0.00045545612055358813,0.0020875299637441447,0.0016458544270189113,2.995816793981159
169.00,1.34094851295213,5.112555010316181,0.4785963614985158,-0.1071709987097387,0.025729176096949923,0.0007113723869737257,0.002157328031507774,0.001649586798648302,2.995676385244888
169.08,1.3325749589502303,5.114557554701822,0.47865454921288947,-0.10723530195792493,0.02574091385746192,0.0006637362252712893,0.0021032962874959838,0.0016897247491687516,2.99561325555444
169.19,1.321118173118361,5.117324459458245,0.47872087820597564,-0.10732747117141732,0.02573667399269771,0.0007839910210593815,0.0022204339564177076,0.0016157661310621072,2.995523679067096
169.31,1.2599915029956437,5.13190866876231,0.47927220858328445,-0.10692116998985414,0.024841789426900376,0.001063449100885877,0.001835720818580933,0.001231186032943394,2.9950558180697997
169.81,1.2597773751956658,5.131958142889824,0.47927435048837924,-0.1069288870729551,0.02482057634329316,0.001073649919725533,0.0018344672180808574,0.001232276946853944,2.99505525671303
169.81,1.2595633168697902,5.1320076632941385,0.4792765145845516,-0.10691929571371654,0.024831575263672225,0.001085028768952832,0.0018334909269300775,0.0012331126410796225,2.995054725282889
169.82,1.2592420239012105,5.132081686258396,0.4792798054148311,-0.10689491913881717,0.02483323190888456,0.001103023158016317,0.0018308719670896353,0.0012360429688581685,2.995053261197524
169.82,1.259134851151093,5.132106306359845,0.4792809141768289,-0.10689497747551106,0.0248185889178803,0.0011089189089904038,0.001829611696765485,0.0012372572238484724,2.9950526072853414
169.85,1.2570983190605476,5.1325758239663966,0.47930291239551154,-0.1068549515569455,0.024714173925595988,0.0012038582533985803,0.001800811458183771,0.0012466818174840715,2.9950274702633073
169.95,1.2467049858306365,5.134953645705496,0.47942870134947807,-0.10654962946898792,0.02436123833177908,0.0012466598096307919,0.0015838888081667892,0.0012904390330559744,2.9950015490104462
170.05,1.236511192869517,5.137283720462042,0.47954911336649275,-0.10617710163113707,0.02398817751181993,0.0013640351689382223,0.0016708454826732126,0.0012163206682434717,2.995007921579884
170.06,1.2360855298196143,5.13737832403711,0.4795546198189995,-0.106184188348506,0.023926579400068444,0.0013837433872086486,0.0016677887155926024,0.0012218940510875626,2.9950066739060324
170.16,1.2254495761756308,5.139742447998314,0.47969839858468805,-0.10575023311865363,0.02352386222278676,0.0012634918316239802,0.0014682573328795453,0.001302317413360618,2.994882521697304
170.27,1.214816473673062,5.142116224514691,0.479816252675765,-0.10525976062587328,0.023156970391052616,0.0012909239237750955,0.0015783250118612982,0.0011943536882485673,2.9948382067532195
170.38,1.1550623925637087,5.154697694527516,0.48054139347057145,-0.10308703869492944,0.020533167380766246,0.0010931058925895114,0.001800079789038669,0.00109623123213345,2.994416906908134
170.88,1.1548567748381022,5.154738056524732,0.48054359192501284,-0.10307105580951782,0.020509293385497382,0.001099853387272247,0.0018033035454059674,0.001099227723414656,2.9944148703152744
170.89,1.1545482784996792,5.1547990631872675,0.4805469043451637,-0.10305332803327338,0.020475223928601,0.001104990768717363,0.0018070368810384776,0.0011009813806074824,2.9944093693699028
170.89,1.1543425623742394,5.154839990553618,0.48054911951720636,-0.103072741878022,0.020472094587110884,0.001108070927877571,0.0018091779003863117,0.0011007411871671586,2.994404987405868
170.89,1.1542397500760988,5.154860428917898,0.4805502304992153,-0.10308034386852696,0.020473935235159495,0.001110497223829049,0.0018105670034905396,0.0011007166243018195,2.994403107435311
170.93,1.1504329426827784,5.155611892006655,0.48059338341236213,-0.10299875006831039,0.02035817782934682,0.0011897002264353222,0.0018387255746248018,0.001112084982080064,2.994419908443931
171.02,1.1419862669897307,5.157247294506363,0.48069061592373485,-0.1028775275812592,0.02005140407073516,0.0009739338283198014,0.0018165008853705414,0.0012173015784475649,2.9943123112555465
171.13,1.13154046580064,5.159278937115069,0.48078335198426664,-0.10281985640487722,0.01970773395654473,0.0009322511895912894,0.0020361426661715887,0.0011604664022611818,2.994134981121826
171.24,1.1213690778208445,5.161205867505915,0.48087013211108814,-0.10290387103669606,0.01946808848780227,0.0006434579280188008,0.0020924941446689833,0.0012214464615720197,2.994080855093104
171.34,1.1115234651399046,5.1630781613318835,0.48092743861888976,-0.10306132421327319,0.01915671197830877,0.0005381547659528643,0.0022810421905574245,0.0011058367663370758,2.993977926934258
171.47,1.0516308518435455,5.1735561496509455,0.4809286487976463,-0.10337707607368818,0.016464361695697167,-0.0002925813660030873,0.0019966265293733265,0.0008208307116622551,2.993539661045622
171.98,1.051527700964589,5.173572567392929,0.48092835495728725,-0.10338159918161166,0.016461980498029147,-0.00029431713216201294,0.0019978311535772697,0.0008208794998068872,2.993539120605956
171.99,1.051115149392019,5.173638453343227,0.480927156524977,-0.10335864363148152,0.016413302562964516,-0.00030420723730259876,0.0020024393645053894,0.0008194561395974543,2.993538811736414
